id_da_questao,id_da_alternativa,codigo_erro,nome_erro
37447,135203,04060710_Erro_5x,Confusão centavo × décimo
37447,135204,04060710_Erro_5x,Confusão centavo × décimo
37447,135205,04060710_Erro_5x,Confusão centavo × décimo
37449,135211,04060710_Erro_5x,Confusão centavo × décimo
37449,135212,04060710_Erro_5x,Confusão centavo × décimo
37449,135213,04060710_Erro_5x,Confusão centavo × décimo
37450,135215,04060710_Erro_5x,Confusão centavo × décimo
37450,135216,04060710_Erro_5x,Confusão centavo × décimo
37450,135217,04060710_Erro_5x,Confusão centavo × décimo
37451,135219,04060710_Erro_5x,Confusão centavo × décimo
37451,135220,04060710_Erro_5x,Confusão centavo × décimo
37451,135221,04060710_Erro_5x,Confusão centavo × décimo
37452,135223,04060710_Erro_5x,Confusão centavo × décimo
37452,135224,04060710_Erro_5x,Confusão centavo × décimo
37452,135225,04060710_Erro_5x,Confusão centavo × décimo
37453,135227,04060710_Erro_5x,Confusão centavo × décimo
37453,135228,04060710_Erro_5x,Confusão centavo × décimo
37453,135229,04060710_Erro_5x,Confusão centavo × décimo
37454,135231,04060710_Erro_5x,Confusão centavo × décimo
37454,135232,04060710_Erro_5x,Confusão centavo × décimo
37454,135233,04060710_Erro_5x,Confusão centavo × décimo
37455,135235,04060710_Erro_5x,Confusão centavo × décimo
37455,135236,04060710_Erro_5x,Confusão centavo × décimo
37455,135237,04060710_Erro_5x,Confusão centavo × décimo
37464,135270,04060710_Erro_1,Erro aritmético simples
37464,135271,04060710_Erro_5x,Confusão centavo × décimo
37464,135272,04060710_Erro_1,Erro aritmético simples
37470,135294,04060710_Erro_2,Erro de cálculo produto / cociente
37470,135296,04060710_Erro_2,Erro de cálculo produto / cociente
37470,135297,04060710_Erro_2,Erro de cálculo produto / cociente
37472,135302,04060710_Erro_2,Erro de cálculo produto / cociente
37472,135304,04060710_Erro_2,Erro de cálculo produto / cociente
37472,135305,04060710_Erro_2,Erro de cálculo produto / cociente
37473,135306,04060710_Erro_2,Erro de cálculo produto / cociente
37473,135308,04060710_Erro_2,Erro de cálculo produto / cociente
37473,135309,04060710_Erro_2,Erro de cálculo produto / cociente
37474,135310,04060710_Erro_2,Erro de cálculo produto / cociente
37474,135312,04060710_Erro_2,Erro de cálculo produto / cociente
37474,135313,04060710_Erro_2,Erro de cálculo produto / cociente
37475,135314,04060710_Erro_2,Erro de cálculo produto / cociente
37475,135315,04060710_Erro_2,Erro de cálculo produto / cociente
37475,135317,04060710_Erro_2,Erro de cálculo produto / cociente
37476,135318,04060710_Erro_3,Multiplica/Divide invertido
37476,135319,04060710_Erro_3,Multiplica/Divide invertido
37476,135321,04060710_Erro_3,Multiplica/Divide invertido
37477,135322,04060710_Erro_2,Erro de cálculo produto / cociente
37477,135324,04060710_Erro_2,Erro de cálculo produto / cociente
37477,135325,04060710_Erro_2,Erro de cálculo produto / cociente
37478,135326,04060710_Erro_2,Erro de cálculo produto / cociente
37478,135328,04060710_Erro_2,Erro de cálculo produto / cociente
37478,135329,04060710_Erro_2,Erro de cálculo produto / cociente
37479,135330,04060710_Erro_2,Erro de cálculo produto / cociente
37479,135331,04060710_Erro_2,Erro de cálculo produto / cociente
37479,135333,04060710_Erro_2,Erro de cálculo produto / cociente
37480,135334,04060710_Erro_2,Erro de cálculo produto / cociente
37480,135335,04060710_Erro_2,Erro de cálculo produto / cociente
37480,135337,04060710_Erro_2,Erro de cálculo produto / cociente
37481,135338,04060710_Erro_2,Erro de cálculo produto / cociente
37481,135339,04060710_Erro_2,Erro de cálculo produto / cociente
37481,135341,04060710_Erro_2,Erro de cálculo produto / cociente
37482,135342,04060710_Erro_2,Erro de cálculo produto / cociente
37482,135344,04060710_Erro_2,Erro de cálculo produto / cociente
37482,135345,04060710_Erro_2,Erro de cálculo produto / cociente
37483,135346,04060710_Erro_2,Erro de cálculo produto / cociente
37483,135347,04060710_Erro_2,Erro de cálculo produto / cociente
37483,135349,04060710_Erro_2,Erro de cálculo produto / cociente
37484,135350,04060710_Erro_2,Erro de cálculo produto / cociente
37484,135351,04060710_Erro_2,Erro de cálculo produto / cociente
37484,135353,04060710_Erro_2,Erro de cálculo produto / cociente
37485,135354,04060710_Erro_2,Erro de cálculo produto / cociente
37485,135355,04060710_Erro_2,Erro de cálculo produto / cociente
37485,135357,04060710_Erro_2,Erro de cálculo produto / cociente
37486,135358,04060710_Erro_3,Multiplica/Divide invertido
37486,135359,04060710_Erro_3,Multiplica/Divide invertido
37486,135361,04060710_Erro_3,Multiplica/Divide invertido
38030,137534,04060710_Erro_2,Erro de cálculo produto / cociente
