37664,136070,0415_Erro_1,Resultado subestimado
37664,136072,0415_Erro_2,Resultado superestimado
37664,136073,0415_Erro_2,Resultado superestimado
37670,136095,0415_Erro_2,Resultado superestimado
37670,136096,0415_Erro_2,Resultado superestimado
37670,136097,0415_Erro_2,Resultado superestimado
37671,136099,0415_Erro_2,Resultado superestimado
37671,136100,0415_Erro_2,Resultado superestimado
37671,136101,0415_Erro_2,Resultado superestimado
37673,136106,0415_Erro_1,Resultado subestimado
37673,136108,0415_Erro_2,Resultado superestimado
37673,136109,0415_Erro_2,Resultado superestimado
37676,136118,0415_Erro_2,Resultado superestimado
37676,136119,0415_Erro_1,Resultado subestimado
37676,136121,0415_Erro_1,Resultado subestimado
37677,136122,0415_Erro_2,Resultado superestimado
37677,136123,0415_Erro_1,Resultado subestimado
37677,136124,0415_Erro_1,Resultado subestimado
37678,136126,0415_Erro_1,Resultado subestimado
37678,136127,0415_Erro_1,Resultado subestimado
37678,136129,0415_Erro_2,Resultado superestimado
37679,136131,0415_Erro_2,Resultado superestimado
37679,136132,0415_Erro_2,Resultado superestimado
37679,136133,0415_Erro_2,Resultado superestimado
37680,136135,0415_Erro_2,Resultado superestimado
37680,136136,0415_Erro_2,Resultado superestimado
37680,136137,0415_Erro_2,Resultado superestimado
37681,136139,0415_Erro_2,Resultado superestimado
37681,136140,0415_Erro_2,Resultado superestimado
37681,136141,0415_Erro_2,Resultado superestimado
37682,136142,0415_Erro_1,Resultado subestimado
37682,136144,0415_Erro_2,Resultado superestimado
37682,136145,0415_Erro_2,Resultado superestimado
37683,136146,0415_Erro_1,Resultado subestimado
37683,136147,0415_Erro_2,Resultado superestimado
37683,136149,0415_Erro_2,Resultado superestimado
37684,136151,0415_Erro_2,Resultado superestimado
37684,136152,0415_Erro_2,Resultado superestimado
37684,136153,0415_Erro_2,Resultado superestimado
37685,136155,0415_Erro_2,Resultado superestimado
37685,136156,0415_Erro_2,Resultado superestimado
37685,136157,0415_Erro_2,Resultado superestimado
37686,136158,0415_Erro_1,Resultado subestimado
37686,136159,0415_Erro_1,Resultado subestimado
37686,136161,0415_Erro_2,Resultado superestimado
