id_da_questao,id_da_alternativa,codigo_erro,nome_erro
4777,17751,0505_Erro_2,Transformar quantidade parte total em fração
4777,17753,0505_Erro_2,Transformar quantidade parte total em fração
4777,17754,0505_Erro_2,Transformar quantidade parte total em fração
36049,129610,0505_Erro_3x,Conversão fração decimal
36049,129611,0505_Erro_3x,Conversão fração decimal
36049,129612,0505_Erro_3x,Conversão fração decimal
36055,129634,0505_Erro_3x,Conversão fração decimal
36055,129636,0505_Erro_3x,Conversão fração decimal
36055,129637,0505_Erro_3x,Conversão fração decimal
36056,129639,0505_Erro_3x,Conversão fração decimal
36056,129640,0505_Erro_3x,Conversão fração decimal
36056,129641,0505_Erro_3x,Conversão fração decimal
36057,129643,0505_Erro_1,Representação de parte do todo em quantidade
36057,129644,0505_Erro_1,Representação de parte do todo em quantidade
36057,129645,0505_Erro_1,Representação de parte do todo em quantidade
36058,129647,0505_Erro_1,Representação de parte do todo em quantidade
36058,129648,0505_Erro_1,Representação de parte do todo em quantidade
36058,129649,0505_Erro_1,Representação de parte do todo em quantidade
36059,129650,0505_Erro_1,Representação de parte do todo em quantidade
36059,129652,0505_Erro_1,Representação de parte do todo em quantidade
36059,129653,0505_Erro_1,Representação de parte do todo em quantidade
36060,129654,0505_Erro_3x,Conversão fração decimal
36060,129655,0505_Erro_3x,Conversão fração decimal
36060,129656,0505_Erro_3x,Conversão fração decimal
36061,129658,0505_Erro_3x,Conversão fração decimal
36061,129659,0505_Erro_3x,Conversão fração decimal
36061,129660,0505_Erro_3x,Conversão fração decimal
36062,129662,0505_Erro_3x,Conversão fração decimal
36062,129663,0505_Erro_3x,Conversão fração decimal
36062,129664,0505_Erro_3x,Conversão fração decimal
36063,129666,0505_Erro_3x,Conversão fração decimal
36063,129667,0505_Erro_3x,Conversão fração decimal
36063,129668,0505_Erro_3x,Conversão fração decimal
36064,129670,0505_Erro_3x,Conversão fração decimal
36064,129671,0505_Erro_3x,Conversão fração decimal
36064,129673,0505_Erro_3x,Conversão fração decimal
36065,129675,0505_Erro_1,Representação de parte do todo em quantidade
36065,129676,0505_Erro_1,Representação de parte do todo em quantidade
36065,129677,0505_Erro_1,Representação de parte do todo em quantidade
36066,129678,0505_Erro_1,Representação de parte do todo em quantidade
36066,129680,0505_Erro_1,Representação de parte do todo em quantidade
36066,129681,0505_Erro_1,Representação de parte do todo em quantidade
36067,129682,0505_Erro_3x,Conversão fração decimal
36067,129683,0505_Erro_3x,Conversão fração decimal
36067,129685,0505_Erro_3x,Conversão fração decimal
36068,129686,0505_Erro_1,Representação de parte do todo em quantidade
36068,129687,0505_Erro_1,Representação de parte do todo em quantidade
36068,129689,0505_Erro_1,Representação de parte do todo em quantidade
36069,129691,0505_Erro_1,Representação de parte do todo em quantidade
36069,129692,0505_Erro_1,Representação de parte do todo em quantidade
36069,129693,0505_Erro_1,Representação de parte do todo em quantidade
36070,129694,0505_Erro_1,Representação de parte do todo em quantidade
36070,129695,0505_Erro_1,Representação de parte do todo em quantidade
36070,129697,0505_Erro_1,Representação de parte do todo em quantidade
36071,129698,0505_Erro_3x,Conversão fração decimal
36071,129699,0505_Erro_3x,Conversão fração decimal
36071,129701,0505_Erro_3x,Conversão fração decimal
36073,129706,0505_Erro_1,Representação de parte do todo em quantidade
36073,129707,0505_Erro_1,Representação de parte do todo em quantidade
36073,129708,0505_Erro_1,Representação de parte do todo em quantidade
36074,129710,0505_Erro_1,Representação de parte do todo em quantidade
36074,129711,0505_Erro_1,Representação de parte do todo em quantidade
36074,129713,0505_Erro_1,Representação de parte do todo em quantidade
36075,129714,0505_Erro_1,Representação de parte do todo em quantidade
36075,129715,0505_Erro_1,Representação de parte do todo em quantidade
36075,129717,0505_Erro_1,Representação de parte do todo em quantidade
36076,129718,0505_Erro_2,Transformar quantidade parte total em fração
36076,129719,0505_Erro_2,Transformar quantidade parte total em fração
36076,129720,0505_Erro_2,Transformar quantidade parte total em fração
36077,129722,0505_Erro_1,Representação de parte do todo em quantidade
36077,129724,0505_Erro_1,Representação de parte do todo em quantidade
36077,129725,0505_Erro_1,Representação de parte do todo em quantidade
36078,129726,0505_Erro_1,Representação de parte do todo em quantidade
36078,129727,0505_Erro_1,Representação de parte do todo em quantidade
36078,129728,0505_Erro_1,Representação de parte do todo em quantidade
36098,129806,0505_Erro_1,Representação de parte do todo em quantidade
36098,129807,0505_Erro_1,Representação de parte do todo em quantidade
36098,129808,0505_Erro_1,Representação de parte do todo em quantidade
