id_da_questao,id_da_alternativa,codigo_erro,nome_erro
36987,133362,0522_Erro_2,Probabilidade subestimada
36987,133363,0522_Erro_1,Probabilidade superestimada
36987,133365,0522_Erro_2,Probabilidade subestimada
36989,133370,0522_Erro_1,Probabilidade superestimada
36989,133371,0522_Erro_1,Probabilidade superestimada
36989,133373,0522_Erro_1,Probabilidade superestimada
37007,133442,0522_Erro_1,Probabilidade superestimada
37007,133443,0522_Erro_1,Probabilidade superestimada
37007,133445,0522_Erro_1,Probabilidade superestimada
37008,133446,0522_Erro_1,Probabilidade superestimada
37008,133448,0522_Erro_1,Probabilidade superestimada
37008,133449,0522_Erro_1,Probabilidade superestimada
37010,133454,0522_Erro_1,Probabilidade superestimada
37010,133456,0522_Erro_1,Probabilidade superestimada
37010,133457,0522_Erro_1,Probabilidade superestimada
37013,133466,0522_Erro_2,Probabilidade subestimada
37013,133467,0522_Erro_1,Probabilidade superestimada
37013,133469,0522_Erro_1,Probabilidade superestimada
37017,133482,0522_Erro_1,Probabilidade superestimada
37017,133483,0522_Erro_2,Probabilidade subestimada
37017,133485,0522_Erro_1,Probabilidade superestimada
37018,133486,0522_Erro_1,Probabilidade superestimada
37018,133488,0522_Erro_1,Probabilidade superestimada
37018,133489,0522_Erro_1,Probabilidade superestimada
37023,133506,0522_Erro_2,Probabilidade subestimada
37023,133507,0522_Erro_2,Probabilidade subestimada
37023,133508,0522_Erro_2,Probabilidade subestimada
37024,133510,0522_Erro_2,Probabilidade subestimada
37024,133511,0522_Erro_2,Probabilidade subestimada
37024,133512,0522_Erro_1,Probabilidade superestimada
37026,133518,0522_Erro_2,Probabilidade subestimada
37026,133520,0522_Erro_2,Probabilidade subestimada
37026,133521,0522_Erro_2,Probabilidade subestimada
37027,133522,0522_Erro_2,Probabilidade subestimada
37027,133523,0522_Erro_1,Probabilidade superestimada
37027,133525,0522_Erro_2,Probabilidade subestimada
