id_da_questao,id_da_alternativa,codigo_erro,nome_erro
5131,19159,0408_Erro_1,Contagem subestimada
5131,19160,0408_Erro_1,Contagem subestimada
5131,19161,0408_Erro_1,Contagem subestimada
37406,135038,0408_Erro_1,Contagem subestimada
37406,135039,0408_Erro_1,Contagem subestimada
37406,135040,0408_Erro_1,Contagem subestimada
37412,135063,0408_Erro_2,Contagem superestimada
37412,135064,0408_Erro_2,Contagem superestimada
37412,135065,0408_Erro_2,Contagem superestimada
37413,135066,0408_Erro_1,Contagem subestimada
37413,135067,0408_Erro_1,Contagem subestimada
37413,135069,0408_Erro_2,Contagem superestimada
37416,135078,0408_Erro_1,Contagem subestimada
37416,135079,0408_Erro_1,Contagem subestimada
37416,135080,0408_Erro_1,Contagem subestimada
37417,135082,0408_Erro_1,Contagem subestimada
37417,135083,0408_Erro_1,Contagem subestimada
37417,135085,0408_Erro_2,Contagem superestimada
37418,135086,0408_Erro_1,Contagem subestimada
37418,135087,0408_Erro_1,Contagem subestimada
37418,135088,0408_Erro_1,Contagem subestimada
37419,135090,0408_Erro_1,Contagem subestimada
37419,135091,0408_Erro_1,Contagem subestimada
37419,135093,0408_Erro_2,Contagem superestimada
37423,135106,0408_Erro_1,Contagem subestimada
37423,135107,0408_Erro_1,Contagem subestimada
37423,135109,0408_Erro_2,Contagem superestimada
37424,135110,0408_Erro_1,Contagem subestimada
37424,135111,0408_Erro_1,Contagem subestimada
37424,135112,0408_Erro_1,Contagem subestimada
37425,135114,0408_Erro_1,Contagem subestimada
37425,135115,0408_Erro_1,Contagem subestimada
37425,135117,0408_Erro_2,Contagem superestimada
37426,135119,0408_Erro_2,Contagem superestimada
37426,135120,0408_Erro_2,Contagem superestimada
37426,135121,0408_Erro_2,Contagem superestimada
37428,135127,0408_Erro_2,Contagem superestimada
37428,135128,0408_Erro_2,Contagem superestimada
37428,135129,0408_Erro_2,Contagem superestimada
37429,135130,0408_Erro_1,Contagem subestimada
37429,135131,0408_Erro_1,Contagem subestimada
37429,135132,0408_Erro_1,Contagem subestimada
37434,135150,0408_Erro_1,Contagem subestimada
37434,135151,0408_Erro_1,Contagem subestimada
37434,135152,0408_Erro_1,Contagem subestimada
37808,136646,0408_Erro_1,Contagem subestimada
37808,136647,0408_Erro_1,Contagem subestimada
37808,136649,0408_Erro_1,Contagem subestimada
