id_da_questao,id_da_alternativa,codigo_erro,nome_erro
26310,94569,0409a_Erro_1,Representacao de parte do todo em quantidade
26310,94570,0409a_Erro_1,Representacao de parte do todo em quantidade
26310,94571,0409a_Erro_1,Representacao de parte do todo em quantidade
26311,94572,0409a_Erro_1,Representacao de parte do todo em quantidade
26311,94574,0409a_Erro_1,Representacao de parte do todo em quantidade
26311,164877,0409a_Erro_1,Representacao de parte do todo em quantidade
26314,94581,0409a_Erro_1,Representacao de parte do todo em quantidade
26314,94582,0409a_Erro_1,Representacao de parte do todo em quantidade
26314,94584,0409a_Erro_1,Representacao de parte do todo em quantidade
26316,94588,0409a_Erro_2,Transformar parte total em fracao
26316,94589,0409a_Erro_2,Transformar parte total em fracao
26316,211232,0409a_Erro_2,Transformar parte total em fracao
26317,94590,0409a_Erro_1,Representacao de parte do todo em quantidade
26317,94591,0409a_Erro_1,Representacao de parte do todo em quantidade
26317,94592,0409a_Erro_1,Representacao de parte do todo em quantidade
26320,94598,0409a_Erro_1,Representacao de parte do todo em quantidade
26320,94599,0409a_Erro_1,Representacao de parte do todo em quantidade
26320,94601,0409a_Erro_1,Representacao de parte do todo em quantidade
26604,95456,0409a_Erro_1,Representacao de parte do todo em quantidade
26604,95457,0409a_Erro_1,Representacao de parte do todo em quantidade
26604,95459,0409a_Erro_1,Representacao de parte do todo em quantidade
26609,95477,0409a_Erro_3,Comparacao incorreta entre fracoes
26609,95478,0409a_Erro_3,Comparacao incorreta entre fracoes
26609,193897,0409a_Erro_3,Comparacao incorreta entre fracoes
33616,120705,0409a_Erro_1,Representacao de parte do todo em quantidade
33616,120706,0409a_Erro_1,Representacao de parte do todo em quantidade
33616,120707,0409a_Erro_1,Representacao de parte do todo em quantidade
33618,120711,0409a_Erro_1,Representacao de parte do todo em quantidade
33618,120713,0409a_Erro_1,Representacao de parte do todo em quantidade
33618,120714,0409a_Erro_1,Representacao de parte do todo em quantidade
33619,120716,0409a_Erro_1,Representacao de parte do todo em quantidade
33619,120717,0409a_Erro_1,Representacao de parte do todo em quantidade
33619,120718,0409a_Erro_1,Representacao de parte do todo em quantidade
45451,154942,0409a_Erro_1,Representacao de parte do todo em quantidade
45451,154944,0409a_Erro_1,Representacao de parte do todo em quantidade
45451,154945,0409a_Erro_1,Representacao de parte do todo em quantidade
53066,185600,0409a_Erro_1,Representacao de parte do todo em quantidade
53066,185601,0409a_Erro_1,Representacao de parte do todo em quantidade
53066,185602,0409a_Erro_1,Representacao de parte do todo em quantidade
53141,185899,0409a_Erro_1,Representacao de parte do todo em quantidade
53141,185900,0409a_Erro_1,Representacao de parte do todo em quantidade
53141,185902,0409a_Erro_1,Representacao de parte do todo em quantidade
53150,185935,0409a_Erro_1,Representacao de parte do todo em quantidade
53150,185936,0409a_Erro_1,Representacao de parte do todo em quantidade
53150,185938,0409a_Erro_1,Representacao de parte do todo em quantidade
53154,185952,0409a_Erro_1,Representacao de parte do todo em quantidade
53154,185953,0409a_Erro_1,Representacao de parte do todo em quantidade
53154,185954,0409a_Erro_1,Representacao de parte do todo em quantidade
53157,185963,0409a_Erro_1,Representacao de parte do todo em quantidade
53157,185964,0409a_Erro_1,Representacao de parte do todo em quantidade
53157,185966,0409a_Erro_1,Representacao de parte do todo em quantidade
53158,185967,0409a_Erro_1,Representacao de parte do todo em quantidade
53158,185968,0409a_Erro_1,Representacao de parte do todo em quantidade
53158,185970,0409a_Erro_1,Representacao de parte do todo em quantidade
53159,185971,0409a_Erro_1,Representacao de parte do todo em quantidade
53159,185972,0409a_Erro_1,Representacao de parte do todo em quantidade
53159,185973,0409a_Erro_1,Representacao de parte do todo em quantidade
26327,94618,0409a_Erro_1,Representacao de parte do todo em quantidade
26327,94620,0409a_Erro_1,Representacao de parte do todo em quantidade
26327,94621,0409a_Erro_1,Representacao de parte do todo em quantidade
26329,94625,0409a_Erro_2,Transformar parte total em fracao
26329,94627,0409a_Erro_2,Transformar parte total em fracao
26329,193508,0409a_Erro_2,Transformar parte total em fracao
26331,94633,0409a_Erro_1,Representacao de parte do todo em quantidade
26331,94634,0409a_Erro_1,Representacao de parte do todo em quantidade
26331,94635,0409a_Erro_1,Representacao de parte do todo em quantidade
26332,94636,0409a_Erro_1,Representacao de parte do todo em quantidade
26332,94637,0409a_Erro_1,Representacao de parte do todo em quantidade
26332,94639,0409a_Erro_1,Representacao de parte do todo em quantidade
26333,94640,0409a_Erro_1,Representacao de parte do todo em quantidade
26333,94641,0409a_Erro_1,Representacao de parte do todo em quantidade
26333,94643,0409a_Erro_1,Representacao de parte do todo em quantidade
26335,94648,0409a_Erro_1,Representacao de parte do todo em quantidade
26335,94649,0409a_Erro_1,Representacao de parte do todo em quantidade
26335,94651,0409a_Erro_1,Representacao de parte do todo em quantidade
26336,94652,0409a_Erro_1,Representacao de parte do todo em quantidade
26336,94653,0409a_Erro_1,Representacao de parte do todo em quantidade
26336,94655,0409a_Erro_1,Representacao de parte do todo em quantidade
26337,94656,0409a_Erro_2,Transformar parte total em fracao
26337,94658,0409a_Erro_2,Transformar parte total em fracao
26337,193674,0409a_Erro_2,Transformar parte total em fracao
26340,94665,0409a_Erro_2,Transformar parte total em fracao
26340,94666,0409a_Erro_2,Transformar parte total em fracao
26340,193676,0409a_Erro_2,Transformar parte total em fracao
26341,94668,0409a_Erro_2,Transformar parte total em fracao
26341,94669,0409a_Erro_2,Transformar parte total em fracao
26341,193677,0409a_Erro_2,Transformar parte total em fracao
26343,94673,0409a_Erro_1,Representacao de parte do todo em quantidade
26343,94674,0409a_Erro_1,Representacao de parte do todo em quantidade
26343,94675,0409a_Erro_1,Representacao de parte do todo em quantidade
26344,94676,0409a_Erro_1,Representacao de parte do todo em quantidade
26344,94678,0409a_Erro_1,Representacao de parte do todo em quantidade
26344,94679,0409a_Erro_1,Representacao de parte do todo em quantidade
26345,94680,0409a_Erro_1,Representacao de parte do todo em quantidade
26345,94682,0409a_Erro_1,Representacao de parte do todo em quantidade
26345,94683,0409a_Erro_1,Representacao de parte do todo em quantidade
26346,94684,0409a_Erro_1,Representacao de parte do todo em quantidade
26346,94685,0409a_Erro_1,Representacao de parte do todo em quantidade
26346,94687,0409a_Erro_1,Representacao de parte do todo em quantidade
26605,95461,0409a_Erro_1,Representacao de parte do todo em quantidade
26605,95462,0409a_Erro_1,Representacao de parte do todo em quantidade
26605,95463,0409a_Erro_1,Representacao de parte do todo em quantidade
26606,95464,0409a_Erro_1,Representacao de parte do todo em quantidade
26606,95466,0409a_Erro_1,Representacao de parte do todo em quantidade
26606,95467,0409a_Erro_1,Representacao de parte do todo em quantidade
26607,95468,0409a_Erro_1,Representacao de parte do todo em quantidade
26607,95469,0409a_Erro_1,Representacao de parte do todo em quantidade
26607,95470,0409a_Erro_1,Representacao de parte do todo em quantidade
26608,95472,0409a_Erro_1,Representacao de parte do todo em quantidade
26608,95474,0409a_Erro_1,Representacao de parte do todo em quantidade
26608,95475,0409a_Erro_1,Representacao de parte do todo em quantidade
53047,185523,0409a_Erro_2,Transformar parte total em fracao
53047,185524,0409a_Erro_2,Transformar parte total em fracao
53047,185526,0409a_Erro_2,Transformar parte total em fracao
53048,185527,0409a_Erro_5x,Interpretacao de representacao pictorica
53048,185528,0409a_Erro_5x,Interpretacao de representacao pictorica
53048,185529,0409a_Erro_5x,Interpretacao de representacao pictorica
53049,185532,0409a_Erro_2,Transformar parte total em fracao
53049,185533,0409a_Erro_2,Transformar parte total em fracao
53049,185534,0409a_Erro_2,Transformar parte total em fracao
53050,185535,0409a_Erro_1,Representacao de parte do todo em quantidade
53050,185537,0409a_Erro_1,Representacao de parte do todo em quantidade
53050,185538,0409a_Erro_1,Representacao de parte do todo em quantidade
53051,185539,0409a_Erro_2,Transformar parte total em fracao
53051,185540,0409a_Erro_2,Transformar parte total em fracao
53051,185541,0409a_Erro_2,Transformar parte total em fracao
53052,185543,0409a_Erro_2,Transformar parte total em fracao
53052,185544,0409a_Erro_2,Transformar parte total em fracao
53052,185545,0409a_Erro_2,Transformar parte total em fracao
53053,185547,0409a_Erro_2,Transformar parte total em fracao
53053,185548,0409a_Erro_2,Transformar parte total em fracao
53053,185549,0409a_Erro_2,Transformar parte total em fracao
53054,185551,0409a_Erro_2,Transformar parte total em fracao
53054,185552,0409a_Erro_2,Transformar parte total em fracao
