id_da_questao,id_da_alternativa,codigo_erro,nome_erro
4216,15559,0507_Erro_1,Erro de soma/subtração monetária
4216,15561,0507_Erro_1,Erro de soma/subtração monetária
4216,15562,0507_Erro_1,Erro de soma/subtração monetária
4217,15563,0507_Erro_1,Erro de soma/subtração monetária
4217,15564,0507_Erro_1,Erro de soma/subtração monetária
4217,15565,0507_Erro_1,Erro de soma/subtração monetária
4220,15575,0507_Erro_1,Erro de soma/subtração monetária
4220,15576,0507_Erro_1,Erro de soma/subtração monetária
4220,15578,0507_Erro_1,Erro de soma/subtração monetária
4221,15580,0507_Erro_1,Erro de soma/subtração monetária
4221,15581,0507_Erro_1,Erro de soma/subtração monetária
4221,15582,0507_Erro_1,Erro de soma/subtração monetária
4223,15587,0507_Erro_1,Erro de soma/subtração monetária
4223,15589,0507_Erro_1,Erro de soma/subtração monetária
4223,15590,0507_Erro_1,Erro de soma/subtração monetária
4224,15591,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
4224,15593,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
4224,15594,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
4225,15595,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
4225,15596,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
4225,15597,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
4226,15599,0507_Erro_1,Erro de soma/subtração monetária
4226,15600,0507_Erro_1,Erro de soma/subtração monetária
4226,15601,0507_Erro_1,Erro de soma/subtração monetária
4227,15603,0507_Erro_1,Erro de soma/subtração monetária
4227,15604,0507_Erro_1,Erro de soma/subtração monetária
4227,15605,0507_Erro_1,Erro de soma/subtração monetária
4420,16361,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
4420,16363,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
4420,16364,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
4421,16365,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
4421,16367,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
4421,16368,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
4423,16374,0507_Erro_1,Erro de soma/subtração monetária
4423,16375,0507_Erro_1,Erro de soma/subtração monetária
4423,16376,0507_Erro_1,Erro de soma/subtração monetária
4424,16378,0507_Erro_1,Erro de soma/subtração monetária
4424,16379,0507_Erro_1,Erro de soma/subtração monetária
4424,16380,0507_Erro_1,Erro de soma/subtração monetária
4425,16381,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
4425,16383,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
4425,16384,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
4428,16391,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
4428,16392,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
4428,16393,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
4429,16395,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
4429,16396,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
4429,16397,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
4430,16399,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
4430,16401,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
4430,16402,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
36132,129942,0507_Erro_3x,Erro de interpretação (dobro/metade/diferença)
36132,129943,0507_Erro_3x,Erro de interpretação (dobro/metade/diferença)
36132,129945,0507_Erro_3x,Erro de interpretação (dobro/metade/diferença)
36133,129946,0507_Erro_1,Erro de soma/subtração monetária
36133,129948,0507_Erro_1,Erro de soma/subtração monetária
36133,129949,0507_Erro_1,Erro de soma/subtração monetária
36134,129950,0507_Erro_1,Erro de soma/subtração monetária
36134,129951,0507_Erro_1,Erro de soma/subtração monetária
36134,129953,0507_Erro_1,Erro de soma/subtração monetária
36136,129958,0507_Erro_1,Erro de soma/subtração monetária
36136,129960,0507_Erro_1,Erro de soma/subtração monetária
36136,129961,0507_Erro_1,Erro de soma/subtração monetária
36137,129962,0507_Erro_1,Erro de soma/subtração monetária
36137,129964,0507_Erro_1,Erro de soma/subtração monetária
36137,129965,0507_Erro_1,Erro de soma/subtração monetária
36138,129966,0507_Erro_3x,Erro de interpretação (dobro/metade/diferença)
36138,129967,0507_Erro_3x,Erro de interpretação (dobro/metade/diferença)
36138,129968,0507_Erro_3x,Erro de interpretação (dobro/metade/diferença)
36139,129971,0507_Erro_1,Erro de soma/subtração monetária
36139,129972,0507_Erro_1,Erro de soma/subtração monetária
36139,129973,0507_Erro_1,Erro de soma/subtração monetária
36140,129974,0507_Erro_1,Erro de soma/subtração monetária
36140,129976,0507_Erro_1,Erro de soma/subtração monetária
36140,129977,0507_Erro_1,Erro de soma/subtração monetária
36143,129986,0507_Erro_3x,Erro de interpretação (dobro/metade/diferença)
36143,129988,0507_Erro_3x,Erro de interpretação (dobro/metade/diferença)
36143,129989,0507_Erro_3x,Erro de interpretação (dobro/metade/diferença)
36144,129990,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
36144,129991,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
36144,129993,0507_Erro_2,Erro de cálculo produto (valor × quantidade)
36145,129994,0507_Erro_1,Erro de soma/subtração monetária
36145,129995,0507_Erro_1,Erro de soma/subtração monetária
36145,129997,0507_Erro_1,Erro de soma/subtração monetária
36147,130003,0507_Erro_1,Erro de soma/subtração monetária
36147,130004,0507_Erro_1,Erro de soma/subtração monetária
36147,130005,0507_Erro_1,Erro de soma/subtração monetária
36148,130006,0507_Erro_1,Erro de soma/subtração monetária
36148,130007,0507_Erro_1,Erro de soma/subtração monetária
36148,130009,0507_Erro_1,Erro de soma/subtração monetária
36150,130014,0507_Erro_3x,Erro de interpretação (dobro/metade/diferença)
36150,130016,0507_Erro_3x,Erro de interpretação (dobro/metade/diferença)
36150,130017,0507_Erro_3x,Erro de interpretação (dobro/metade/diferença)
36151,130018,0507_Erro_3x,Erro de interpretação (dobro/metade/diferença)
36151,130020,0507_Erro_3x,Erro de interpretação (dobro/metade/diferença)
36151,130021,0507_Erro_3x,Erro de interpretação (dobro/metade/diferença)
